id,audio_path,lyrics,language,label,title,category,lyrics_title,source
bn_audio_05bd11a0e73b,data/audio/01 - Miles - Piashi Mon (MyTuneBD.Com).mp3,"আমি চাঁদকে বলেছি আলো দিও
আমার প্রিয়ার ঘরে
সে যেন জাগে না রাত একেলা আধারে।।
সেই রাতে যদি বরষা ঝরে
সে যদি ঘুমায়।
বরষাকে তুমি কানে কানে বলো
সে যেন আর না ঝরে
আমার প্রিয়ার ঘরে।।
ঘমিয়ে সে যদি স্বপ্ন দেখে মধুর মধুর।
তন্দ্রা চোখে সে যেন শোনে
আমার এ গান সুরে সুরে
আমার প্রিয়ার ঘরে।।",bn,bn,Piashi Mon,আধুনিক,আমি চাঁদকে বলেছি আলো দিও,BanglaSongLyrics.csv
bn_audio_206ef4c9dea3,data/audio/01 - Sabaito Sukhi Hote.mp3,"না, না গো না,
                    কোরো না ভাবনা –
             যদি বা নিশি যায়   যাব না যাব না ॥
             যখনি চলে যাই   আসিব ব’লে যাই,
             আলোছায়ার পথে   করি আনাগোনা ॥
             দোলাতে দোলে মন   মিলনে বিরহে।
             বারে বারেই জানি   তুমি তো চির হে।
             ক্ষণিক আড়ালে   বারেক দাঁড়ালে
             মরি ভয়ে ভয়ে   পাব কি পাব না ॥",bn,bn,Sabaito Sukhi Hote,রবীন্দ্র সংগীত,"না, না গো না, কোরো না ভাবনা",BanglaSongLyrics.csv
bn_audio_74dbad8729ab,data/audio/01. Aha Aji E Boshanto.mp3,"আমার এ গান তুমি শুনবে জানি শুনবে
হয়ত বা আজ নয় আর কোন দিন
আমার কথা তুমি রাখবেই কথা রাখবেই
যদিও বা আজ নয় অন্য সেদিন।।
সপ্ত সুরের মাধুরী দিয়ে
রচেছি এ গান তোমায় নিয়ে।
এই প্রিয় গীতি এ মধুর স্মৃতি।
হারাবে না সে কখনো রবে চিরদিন
একা একা তুমি রইবে যখন
এ গান তোমার মনে পড়বে তখন।
ভীরু হৃদয়ের সন্ধিক্ষণে
মধু গুঞ্জন তুলবে প্রানে।
চোখে চোখ রেখে কাছে নিবো ডেকে।
প্রেমের আবেগে হবে স্বপ্ন রঙ্গিন।।",bn,bn,Aha Aji E Boshanto,ছায়াছবি,আমার এ গান তুমি শুনবে,BanglaSongLyrics.csv
bn_audio_56e7a0e184b5,data/audio/01. Bhoriya Paran Sunitechhi Gaan.mp3,"ও শিমুল বন দাও রাঙিয়ে মন।
কৃষ্ণচূড়া দোপাটি আর পলাশ দিল ডাক।
মধুর লোভে ভীড় জমালো মৌ পিয়াসী অলির ঝাক।।
কামরাঙা বউ মুখ ঢাকে লাল চেলিতে
চোখ গেল দেয় না তারে চোখ মেলিতে।
দেসনি গো লাজ তারে দোহাই কথা রাখ।
আজ সে দোসর খোঁজে ঘোমটা করে ফাঁক
ও তাই ঘোমটা করে ফাঁক।।
আজকে আমার মন হারাবার এলো কিসের লগ্ন গো
কিসের সাড়ায় কার ইশারায় স্বপ্নে আছি মগ্ন গো।
বউ কথা কও ঐ তো বাজায় শাক।
আবেশে করে শুধু হৃদয় ভরে থাক
হেসে প্রহর বয়ে যাক
কৃষ্ণচূড়া দোপাটি আর পলাশ দিল ডাক।।",bn,bn,Bhoriya Paran Sunitechhi Gaan,আধুনিক,ও শিমুল বন দাও রাঙিয়ে মন,BanglaSongLyrics.csv
bn_audio_7341aad9caa7,data/audio/02 - Khub Jante Echchhe Kore.mp3,"ধায় যেন মোর সকল ভালোবাসা
প্রভু, তোমার পানে, তোমার পানে, তোমার পানে।
যায় যেন মোর সকল গভীর আশা
প্রভু, তোমার কানে, তোমার কানে, তোমার কানে।
চিত্ত মম যখন যেথায় থাকে
সাড়া যেন দেয় সে তোমার ডাকে
যত বাধা সব টুটে যায় যেন
প্রভু, তোমার টানে, তোমার টানে, তোমার টানে।
বাহিরের এই ভিক্ষাভরা থালি
এবার যেন নি:শেষে হয় খালি
অন্তর মোর গোপনে যায় ভরে
প্রভু, তোমার দানে, তোমার দানে, তোমার দানে।
হে বন্ধু মোর, হে অন্তরতর
এ জীবনে যা-কিছু সুন্দর
সকলি আজ বেজে উঠুক সুরে
প্রভু, তোমার গানে, তোমার গানে, তোমার গানে।",bn,bn,Khub Jante Echchhe Kore,রবীন্দ্র সংগীত,ধায় যেন মোর সকল ভালোবাসা,BanglaSongLyrics.csv
bn_audio_c78166a4390b,data/audio/02 - Miles - Parina Bojhate (MyTuneBD.Com).mp3,"করিমানা কাম ছাড়ে না মদনে
প্রেম রসিক হব কেমনে আমি 
এই দেহেতে মদন রাজা করে কাচারি
কর আদায় করে নিয়ে যায় হুজুরি
মদন যে দুষ্টু ভারি তারে দেয় তহশিলদারি
করে সে মুন্সিগিরি গোপনে
চোর দিয়ে চোর ধরাধরি একি কারখানা
আমি তা জিজ্ঞাসিলে তুমি বল না
সাধু সব চুরি করে চোর দেখে পালায় ডরে
নিয়ে যায় শূন্য ভরে কোনখানে
লালন সাঁই যে বিনয় করে সিরাজ সাঁইর পায়
স্বামী মারিলে লাথি নালিশ করিবো কোথায়
তুমি মোর প্রাণ পতি কি দিয়ে রাখবো রতি
কেমনে হব সতী চরণে।",bn,bn,Parina Bojhate,বাউল,করিমানা কাম করে না,BanglaSongLyrics.csv
bn_audio_8c90f87029fa,data/audio/02. Bhorer Haoay Ele.mp3,"হরি, প্রেম-গগনে চির-রাকা।
চির-প্রসন্ন কি মাধুরী-মাখা! 
সুপ্ত জগতে, চির-জাগ্রত প্রহরী,
বরষিছ চির-করুণামৃত-লহরী;−
(মম) অন্ধ আঁখি, মোহে ঢাকা!
সাধু ভকত জন পিয়ে মকরন্দ,
এ হরি, মম মন-গতি অতি মন্দ;
উড়ে’ যেতে নাইক পাখা! 
(পূরবী) মিশ্র কাওয়ালী",bn,bn,Bhorer Haoay Ele,ভক্তিমূলক গান,"হরি, প্রেম-গগনে চির-রাকা।",BanglaSongLyrics.csv
bn_audio_a3b8299de253,data/audio/02. Sakhi Bohe Gelo.mp3,"দীপ জ্বেলে ওই তারা এ কি কথা বলে যায়
দূর হতে দূরে কেন আকাশ চলে যায় ?
কেন যে ওরা আমাকে শুধু ডাকে শুধু ডাকে ?
সময় নেই সময় নেই বলে মন কিছুক্ষণ,
রাত নিঝুম দাও না ঘুম, ঘুমাক না দু’নয়ন
ঘুম এলে সব ফেলে কাজ কেন ছুটি চায়  ?
কোথায় সুর কোথায় গান কি সে দেব সাড়া তার ?
কোন্ সেতার ছন্দে তার সাজায় গো উপহার ?
দিশাহারা ভালোবাসা সেই আলো কোথা পায় ?",bn,bn,Sakhi Bohe Gelo,ছায়াছবি,দীপ জ্বেলে ওই তারা এ কি কথা বলে যায়,BanglaSongLyrics.csv
bn_audio_40e46ef4e2bc,data/audio/03 - Coffee Houser Sei Addata.mp3,"আমি আর আমার দু’চোখ কখনো জলে ভেজাবো না
এ ব্যথা আমারই থাক, চাই না কারও সান্ত্বনা
পৃথিবী ভালবাসে না, ভালবাসতেও সে জানে না।
কান্নায় লাভ নেই, কান্নায় হবে না কোনদিন পদ্মা-মেঘনা
দিনের আলোয় শুকিয়ে যাবে সে
হবে না তো এক নদী যমুনা।
টেনে নিয়ে বুকের কাছে,
ছুঁড়ে দেয় ধূলোর মাঝে।
ভালবাসার নিয়ম মানি না
তাইতো অশ্রু এখন আসে না
দিও না, দিও না, সান্ত্বনা
কান্নায় লাভ নেই, কান্নায় হবে না………।।
ডুবেছিল মায়াজালে হৃদয়
সেই ক্ষত এখনো কথা কয়।
ভালবাসার নিয়ম মানি না
তাইতো অশ্রু এখন আসে না
দিও না, দিও না, সান্ত্বনা
কান্নায় লাভ নেই, কান্নায় হবে না………।।",bn,bn,Coffee Houser Sei Addata,ব্যান্ড,এক নদী যমুনা,BanglaSongLyrics.csv
bn_audio_d928def98ae0,data/audio/03 - Miles - Swapnil Ei Rate (MyTuneBD.Com).mp3,"খুজে তারে জনম জনম
আমার জগত চারিপাশ
পেলাম খোঁজে হৃদয় মাঝে
লুকিয়ে তাহার নিবাস।
লুকিয়ে ছিল চুপি চুপি দেয়নি কোন সাড়া
আজ একটু খানি অনুভবে আমি দিশেহারা।
সে না হয় থাকুক ভবে, হোক রয়ে অনুভবে
তার ছোয়া পেয়ে প্রাণে, হোক না প্রাণনাশ
খোজে তারে জনম জনম
আমার জগত চারিপাশ
পেলাম খোঁজে হৃদয় মাঝে
লুকিয়ে তাহার বাস।",bn,bn,Swapnil Ei Rate,বিবিধ,খুজে তারে জনম জনম,BanglaSongLyrics.csv
